유치원명,교육지원청명,특수유아수,유아수,특수유아비율,특수학급수,특수학급총합,특수교사수,특수교사당유아,학급대비특수교사수,특수유아있지만학급없음,특수유아있지만교사없음,교사가없는특수아동
구룡유치원,강남서초교육지원청,0,85,0.0,0,0,0,0.0,0.0,0,0,0.0
남부유치원,강남서초교육지원청,0,73,0.0,0,0,0,0.0,0.0,0,0,0.0
서울도봉초등학교병설유치원,북부교육지원청,0,12,0.0,0,0,0,0.0,0.0,0,0,0.0
서울수암초등학교병설유치원,북부교육지원청,0,57,0.0,0,0,0,0.0,0.0,0,0,0.0
서울매봉초등학교병설유치원,남부교육지원청,0,44,0.0,0,0,0,0.0,0.0,0,0,0.0
서울서정초등학교병설유치원,강서양천교육지원청,0,59,0.0,0,0,0,0.0,0.0,0,0,0.0
종인유치원,동작관악교육지원청,0,28,0.0,0,0,0,0.0,0.0,0,0,0.0
하늘유치원,동작관악교육지원청,0,42,0.0,0,0,0,0.0,0.0,0,0,0.0
고운유치원,북부교육지원청,0,186,0.0,0,0,0,0.0,0.0,0,0,0.0
까치유치원,북부교육지원청,0,113,0.0,0,0,0,0.0,0.0,0,0,0.0
서울고척초등학교병설유치원,남부교육지원청,4,87,0.045977,1,1,1,4.0,1.0,0,0,0.0
서울남유치원,남부교육지원청,0,88,0.0,0,0,0,0.0,0.0,0,0,0.0
서울탑동유치원,남부교육지원청,0,77,0.0,0,0,0,0.0,0.0,0,0,0.0
살레시오성미유치원,남부교육지원청,0,197,0.0,0,0,0,0.0,0.0,0,0,0.0
피노키오유치원,서부교육지원청,0,80,0.0,0,0,0,0.0,0.0,0,0,0.0
한양제일유치원,서부교육지원청,0,62,0.0,0,0,0,0.0,0.0,0,0,0.0
서울신원초등학교병설유치원,강서양천교육지원청,0,25,0.0,0,0,0,0.0,0.0,0,0,0.0
한별유치원,북부교육지원청,0,82,0.0,0,0,0,0.0,0.0,0,0,0.0
경복유치원,서부교육지원청,0,140,0.0,0,0,0,0.0,0.0,0,0,0.0
성산아트유치원,서부교육지원청,0,113,0.0,0,0,0,0.0,0.0,0,0,0.0
제일무궁화유치원,강동송파교육지원청,0,198,0.0,0,0,0,0.0,0.0,0,0,0.0
동화나라유치원,북부교육지원청,0,60,0.0,0,0,0,0.0,0.0,0,0,0.0
서울송전초등학교병설유치원,강동송파교육지원청,0,38,0.0,0,0,0,0.0,0.0,0,0,0.0
행복유치원,동작관악교육지원청,0,151,0.0,0,0,0,0.0,0.0,0,0,0.0
명덕유치원,강동송파교육지원청,0,131,0.0,0,0,0,0.0,0.0,0,0,0.0
올림픽유치원,강동송파교육지원청,0,103,0.0,0,0,0,0.0,0.0,0,0,0.0
예은유치원,강동송파교육지원청,0,115,0.0,0,0,0,0.0,0.0,0,0,0.0
목원유치원,남부교육지원청,0,169,0.0,0,0,0,0.0,0.0,0,0,0.0
솔방울유치원,동부교육지원청,0,38,0.0,0,0,0,0.0,0.0,0,0,0.0
봄내유치원,동부교육지원청,0,124,0.0,0,0,0,0.0,0.0,0,0,0.0
유정유치원,서부교육지원청,0,153,0.0,0,0,0,0.0,0.0,0,0,0.0
와우랩유치원,서부교육지원청,0,246,0.0,0,0,0,0.0,0.0,0,0,0.0
정님유치원,서부교육지원청,0,148,0.0,0,0,0,0.0,0.0,0,0,0.0
서울청덕초등학교병설유치원,성북강북교육지원청,0,16,0.0,0,0,0,0.0,0.0,0,0,0.0
가명유치원,중부교육지원청,0,75,0.0,0,0,0,0.0,0.0,0,0,0.0
근화유치원,중부교육지원청,0,81,0.0,0,0,0,0.0,0.0,0,0,0.0
배화여자대학교 부속 배화유치원,중부교육지원청,0,74,0.0,0,0,0,0.0,0.0,0,0,0.0
탑주유치원,성북강북교육지원청,0,172,0.0,0,0,0,0.0,0.0,0,0,0.0
성실유치원,성북강북교육지원청,0,105,0.0,0,0,0,0.0,0.0,0,0,0.0
우일유치원,강서양천교육지원청,0,91,0.0,0,0,0,0.0,0.0,0,0,0.0
한영유치원,남부교육지원청,0,93,0.0,0,0,0,0.0,0.0,0,0,0.0
슬기유치원,성동광진교육지원청,0,66,0.0,0,0,0,0.0,0.0,0,0,0.0
윤진유치원,성동광진교육지원청,0,17,0.0,0,0,0,0.0,0.0,0,0,0.0
자양하나유치원,성동광진교육지원청,0,42,0.0,0,0,0,0.0,0.0,0,0,0.0
