교육지원청명,유치원코드,유치원명,주소,특수유아수,특수교사수,특수학급수,특수아동보유여부,특수학급보유여부,특수교사보유여부,유아수,특수유아비율,특수교사당특수아동수,특수유아있지만학급없음,특수유아있지만교사없음,교사가없는특수아동
동부교육지원청,1ecec08c-f56b-b044-e053-0a32095ab044,서울면목초등학교병설유치원,서울특별시 중랑구 면목로 434,0,0,0,0,0,0,36,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f720-b044-e053-0a32095ab044,솔방울유치원,서울특별시 중랑구 용마산로 250,0,0,0,0,0,0,38,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f721-b044-e053-0a32095ab044,봄내유치원,서울특별시 중랑구 면목로61길 50,0,0,0,0,0,0,124,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f894-b044-e053-0a32095ab044,윤경유치원,서울특별시 중랑구 숙선옹주로 91,0,0,0,0,0,0,120,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f895-b044-e053-0a32095ab044,한양유치원,서울특별시 동대문구 답십리로 184,0,0,0,0,0,0,67,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-f8dc-b044-e053-0a32095ab044,세하유치원,서울특별시 동대문구 장안벚꽃로 107,0,0,0,0,0,0,96,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fa6b-b044-e053-0a32095ab044,서울묵현초등학교병설유치원,서울특별시 중랑구 동일로157길 75,5,1,1,1,1,1,31,0.1612903,5.0,0,0,0.0
동부교육지원청,1ecec08c-fadc-b044-e053-0a32095ab044,서울유치원,서울특별시 동대문구 한천로58길 47,0,0,0,0,0,0,93,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fb77-b044-e053-0a32095ab044,나래유치원,서울특별시 중랑구 봉우재로41길 12,0,0,0,0,0,0,135,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fb78-b044-e053-0a32095ab044,동일유치원,서울특별시 중랑구 면목로35길 21,0,0,0,0,0,0,120,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fb79-b044-e053-0a32095ab044,미광유치원,서울특별시 중랑구 용마산로115나길 7,0,0,0,0,0,0,49,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fb7a-b044-e053-0a32095ab044,사군자유치원,서울특별시 동대문구 장한로5길 51,0,0,0,0,0,0,18,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fb7b-b044-e053-0a32095ab044,산정현유치원,서울특별시 동대문구 회기로23가길 33,0,0,0,0,0,0,30,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fb7c-b044-e053-0a32095ab044,새샛별유치원,서울특별시 중랑구 망우로 458,0,0,0,0,0,0,70,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-fcf3-b044-e053-0a32095ab044,파스텔유치원,서울특별시 동대문구 전농로10길 20,0,0,0,0,0,0,33,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ff1e-b044-e053-0a32095ab044,색동유치원,서울특별시 중랑구 동일로109길 31,0,0,0,0,0,0,11,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ff1f-b044-e053-0a32095ab044,신동아유치원,서울특별시 동대문구 무학로26길 30,0,0,0,0,0,0,133,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ff20-b044-e053-0a32095ab044,아이비유치원,서울특별시 동대문구 한천로 246,0,0,0,0,0,0,151,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ffcd-b044-e053-0a32095ab044,동성유치원,서울특별시 중랑구 신내로 110,0,0,0,0,0,0,157,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08c-ffce-b044-e053-0a32095ab044,사랑유치원,서울특별시 동대문구 제기로 131,0,0,0,0,0,0,124,0.0,0.0,0,0,0.0
동부교육지원청,1ecec08d-0135-b044-e053-0a32095ab044,젬마유치원,서울특별시 동대문구 이문로12길 20,0,0,0,0,0,0,82,0.0,0.0,0,0,0.0
